CVD Method,Pressure (mbar),Gases {Gas: Flow rate (sccm)},Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers
Hot-Wall,800,"{'Ar': None, 'H2': None}",766.6666667,250,Ge/Si wafer,ML
Hot-Wall,750,"{'CH4': None, 'Ar': None}",1050,30,Cu,ML
Hot-Wall,1013.25,{'n-C6H14': 1},1070,60,Ni,3.5
Hot-Wall,26.67,"{'H2': 400, 'CH4': 200}",1000,5,Cu,ML
Hot-Wall,13.33,"{'H2': 50, 'CH4': 6}",1000,4,Cu,ML
Hot-Wall,133.3,"{'C2H4': 30, 'Ar': 60}",975,1.5,Cu,1
Hot-Wall,53.32,"{'H2': 10, 'CH4': 0.1}",1030,30,Cu,ML
Hot-Wall,1013.25,{'CH4': 0.1},1060,60,Cu,1
Hot-Wall,13.33,"{'H2': 200, 'CH4': 10}",1020,20,Cu,ML
Hot-Wall,1013.25,"{'Ar': 800, 'H2': 10, 'CH4': 0.5}",1080,5,Cu,1
Hot-Wall,1013.25,"{'Ar': 450, 'H2': 12.5, 'CH4': 12.5}",1040,67.5,"In, Ga; Cu",1
Hot-Wall,1013.25,"{'Ar': 300, 'H2': 15, 'CH4': 12.5}",1020,35,Ga,1
Hot-Wall,1013.25,"{'H2': 300, 'CH4': 7}",1100,30,Cu,1
Hot-Wall,1013.25,"{'H2': 500, 'CH4': 4}",1062.5,380,Pt3Si/Pt,2
Hot-Wall,1013.25,"{'Ar': 500, 'H2': 200, 'CH4': 1.5}",1080,15,Cu,ML
Hot-Wall,1013,"{'H2': 300, 'CH4': 6}",1120,134,Cu on W,1
Hot-Wall,1013,"{'Ar': 300, 'CH4': 12.5, 'H2': 15.0}",1120,62.5,"Ga, In, Cu",1
Hot-Wall,1013,"{'Ar': 200, 'CH4': 2.575, 'H2': 50.0}",1090,75,Cu on W or Mo,1
Hot-Wall,1013,"{'Ar': 200, 'CH4': 2.575, 'H2': 50.0}",900,15.25,"Ga, In, Sn, In-Cu, Sn-Ni, Sn-Ag-Cu",
Hot-Wall,1013,"{'Ar': 200, 'CH4': 10, 'H2': 80}",1090,90,Cu on W or Mo,1
Hot-Wall,,"{'H2': 120, 'CH4': 6}",1120,47.5,Cu on W and Mo,1
Cold-Wall,27,"{'Ar': 100, 'N2': 700, 'H2': 100, 'CH4': 8}",1000,30,Ni,1
Cold-Wall,27,"{'H2': 80, 'CH4': 1}",600,30,SiO2/Si,1
Cold-Wall,0.0133,"{'H2': 0.4, 'CH4': 1.4}",1000,20,Cu,1
Cold-Wall,1,"{'H2': 24, 'C2H2': 12}",775,30,-,7
Cold-Wall,666.612,"{'H2': 201.5, 'CH4': 13}",1030,50,SiO2/Si,1.5
Cold-Wall,15,"{'H2': 60, 'CH4': 15}",750,20,SiO2/Si,1
Cold-Wall,27,"{'H2': 4, 'CH4': 1}",975,20,SiO2/Si,1
Cold-Wall,144,"{'H2': 8, 'CH4': 1}",950,30,Cu,1
Cold-Wall,1013,"{'H2': 1500, 'CH4': 25}",950,10,SiO2/Si,2.5
Cold-Wall,11,"{'H2': 10, 'CH4': 23, 'Ar': 120}",950,33,PET,1
Cold-Wall,0.1,"{'H2': 20, 'CH4': 60, 'Ar': 140}",930,45,SiO2/Si,2
Cold-Wall,0.02,"{'H2': None, 'CH4': None, 'Ar': None}",1000,30,SiO2/Si,ML
Cold-Wall,7,"{'H2': 50, 'CH4': 0.25, 'Ar': 500}",1450,30,Cu,1
Cold-Wall,93,"{'H2': 0.7, 'CH4': 280, 'Ar': 10000}",680,30,Cu,1
MW-PECVD,0.666612,"{'Ne': None, 'H2': '2-5', 'CH4': None}",420,12.5,Cu,1
MW-PECVD,10.5,"{'Ar': 100, 'H2': 50, 'CH4': '1-10'}",775,60,Co,ML
MW-PECVD,1.00E-06,"{'H2': 300.0, 'C2H2': 30.0, 'NH3': '0-120'}",725,,Al2O3,1
MW-PECVD,1.00E-06,"{'H2': 300.0, 'C2H2': 30.0, 'NH3': '0-120'}",725,,SiO2,ML
MW-PECVD,17.5,"{'Ar': None, 'H2': 50, 'CH4': '1-10'}",850,1,Co-Cu,ML
MW-PECVD,30,"{'H2': 140.0, 'CH4': 60.0}",900,37.5,"Si(100), SiO2",ML
MW-PECVD,0.033330592,"{'Ar': None, 'H2': '2.5', 'CH4': None, 'O2': None}",425,10,Cu,1
MW-PECVD,0.033330592,"{'Ar': None, 'H2': '2', 'CH4': None, 'O2': None}",400,10,Cu,2
ECR-PECVD,0.054,"{'H2': 55, 'C2H2': 0.225}",650,450,quartz and silica,1
ECR-PECVD,1.33E-06,"{'H2': 200, 'CH4': 100.0}",,5,Cu,
ECR-PECVD,1.00E-06,"{'H2': 50, 'C2H2': 0.52}",600,150,Si,1
ECR-PECVD,1.00E-06,"{'H2': 50, 'C2H2': 0.52}",600,150,SiO2,ML
RF-PECVD,3.46638,"{'Ar': 20, 'H2': 20, 'CH4': 3}",550,20,"Glass, Si/SiO2 wafers, Cu",ML
RF-PECVD,0.5999507,"{'Ar': 100, 'CH4': 2}",725,17.5,SiO2/Si,ML
RF-PECVD,0.01,"{'H2': 2, 'CH4': 10}",600,15,Cu,ML
RF-PECVD,1.179903,"{'Ar': 50, 'H2': 10, 'CH4': 0.1}",875,75,quartz,ML
RF-PECVD,0.533289,"{'Ar': 400, 'H2': 60, 'CH4': 40}",625,90,Ge,1
RF-PECVD,0.005466217,{'CH4': 0.6},800,20,"Si plane, textured Si wafers",ML
HF-PECVD,,"{'H2': None, 'CH4': None}",1600,5,Ni,ML
HF-PECVD,6.00E-06,"{'N2': 10, 'H2': 50, 'C2H2': 1}",850,9,glass,ML
ICP-PECVD,0.266645,"{'Ar': 21.5, 'H2': 10, 'CH4': '2-4'}",300,0.167,Cu/SiO2/Si,2
ICP-PECVD,1.33322,"{'Ar': 100, 'H2': 100, 'CH4': 1}",850,30.0415,Cu,1
ICP-PECVD,1.33322,"{'Ar': 100, 'H2': 100, 'CH4': 1}",850,30.0415,Fe2O3 film,ML
ICP-PECVD,0.0115,"{'Ar': None, 'C3H8': '50Ã¢â‚¬â€œ400', 'N2': None, 'C3H': None, 'SiH4': None}",425,15.5,Cu,ML
ICP-PECVD,0.896592927,"{'Ar': 50, 'H2': '10-50', 'CH4': 5}",850,2.5415,Cu,1
ICP-PECVD,,"{'Ar': 180, 'H2': 5, 'CH4': 5}",850,1,Cu,1
General,5.50E-06,None,900,30,Polycrystalline Cu/Ni film,3.5
CVD,N/A,,1075,30,Single-crystal Cu/Ni(111) film (500 nm),2
CVD,53.3289,"{'CH4': 1, 'H2': 10, 'Ar': 200}",1075,5,Large-area single-crystal Cu/Ni(111) foil,2
CVD,0.0533289,{'CH4': 50},1000,120,Cu foil (200/0-300 nm),5.5
CVD,N/A,"{'CH4': 45, 'H2': 10}",1000,45,P/Cu foil,5
CVD,0.2,{'CH4': None},1085,10,Cu/Ni(111) film (385/115 nm),2
CVD,0.2,{'CH4': None},1085,600,Cu/Ni(111) film (385/115 nm),2
CVD,7.00E-06,{'C2H4': None},820,,Ni(111) film (500 nm),2
CVD,7.00E-06,{'C2H4': None},785,,Ni(111) film (500 nm),2
CVD,0.133322,"{'CH4': 30, 'H2': 10}",1000,10,Cu foil,2
CVD,0.133322,"{'CH4': 30, 'H2': 100}",1000,10,Cu,2
CVD,,"{'CH4': 400, 'H2': 0.1}",,,Cu,1.5
CVD,26.6645,"{'CH4': 20, 'H2': 250, 'Ar': 100}",1050,,Cu (111) foil(0.02mm),1.5
LPCVD,,{'C2H2': None},650,,Fe Film,ML
LPCVD,,{'C2H2': None},750,,Ni foil,ML
UHVCVD,,{'C2H4': None},550,,Ni,1
LPCVD,,"{'CH3OH': None, 'C2H6O': None, 'CH3CH2CH2OH': None}",750,,Cu foil,1
LPCVD,,"{'Benzene': None, 'PS': None, 'PMMA': None}",650,,Cu foil,1
LPCVD,,"{'Chlorobenzene': None, 'PMMA': None}",400,,Cu foil,ML
LPCVD,,"{'PS': None, 'PVP': None, 'PEG': None, 'PMMA': None}",490,,"Stainless steel, Cu, Ni, CuNi",ML
LPCVD,,{'Benzene': None},300,,Cu foil,1
APCVD,,{'Benzene': None},200,,Cu foil,1
LPCVD,,{'Toluene': None},450,,Cu foil,1
APCVD,,{'Naphthalene': None},450,,Cu foil,1
LPCVD,,"{'Pyrene': None, 'TPN': None}",500,,Cu foil,1
CVD,,"{'ADN': None, 'NPB': None, 'HAT-CN': None}",800,,Cu film,ML
APCVD,,{'Pyridine': None},300,,Cu foil,1
LPCVD,,{'P4VP': None},750,,Cu foil,ML
LPCVD,,"{'Pentachloropyridine': None, 'Tetrabromothiophene': None}",265,,Cu foil,ML
LPCVD,,{'C2H2': None},525,,AuNi film,ML
LPCVD,,{'C2H2': None},347.5,,MgO,ML
PECVD,,{'CH4': None},600,,Cu foil,1
ICP-CVD,,{'C2H2': None},675,,"CuNi, AuNi film",ML
ICP-CVD,,{'C2H2': None},300,,Cu film,ML
PECVD,,"{'CH4': None, 'C2H2': None}",525,,"Sapphire, SiO2, HOPG",1
PECVD,,"{'CH4': None, 'C2H4': None, 'C2H2': None}",542.5,,"Sapphire, SiO2, HOPG, h-BN",1
MPCVD,,{'CH4': None},600,,Ni foil,1
SW-MPCVD,,{'PMMA': None},280,,Cu foil,ML
PTCVD,,{'C2H2': None},700,,Ni foil,ML
ECR-CVD,,{'C2H2': None},400,,Cu interconnects,ML
CVD,1013.25,"{'CH4': 15, 'H2': 100, 'Ar': 200}",1000,20,Polycrystalline Ni foils,ML
CVD,1013.25,"{'CH4': 15.0, 'H2': 1500, 'Ar': 600}",950,7.5,Evaporated Ni film on SiO2/Si,ML
CVD,1013.25,"{'CH4': 100, 'H2': 600}",800,8,Evaporated Ni film on SiO2/Si,2.5
CVD,1013.25,"{'CH4': 550, 'H2': 65, 'Ar': 200}",1000,7,Evaporated Ni film on SiO2/Si,ML
CVD,0.00202,,1100,50,Polycrystalline Ni films on SiO2/Si,ML
CVD,0.666612,"{'CH4': 35, 'H2': 2}",1000,,Cu,1
CVD,0.133322,{},1035,,Cu,1
CVD,,"{'CH4': 80, 'H2': 600}",900,,Ni (1 1 1),1
CVD,0.001333224,{'C2H4': None},575,,Ni (1 1 1),1
CVD,,"{'CH4': 6, 'H2': 794}",1050,,Pt (1 1 1),1
CVD,,"{'CH4': 4, 'H2': 700}",1040,,Pt (1 1 1),1
CVD,,"{'CH4': 0.1, 'H2': 50}",915,,Ge (semi-metal),1
CVD,133.322,{'CH4': None},915,,Ge (1 1 0) (semi-metal),1
CVD,5.00E-10,{'C2H4': None},847,,Ir (1 1 1),1
CVD,1.00E-10,,1077,,Ru (0 0 0 1),1
CVD,,{'C2H2': None},800,,Co (0 0 0 1) on SiO2/Si,1
CVD,5.50E-06,,900,,Cu-Ni alloy (5.5% Ni),1
CVD,0.666612,"{'CH4': 70, 'H2': 100}",1000,,Cu (25 ?m),2
CVD,0.9999178,"{'CH4': None, 'H2': None}",1050,,Cu (25 ?m),2
CVD,,"{'CH4': 1.5, 'H2': 50}",1050,,Cu (107 ?m) Enclosure,2
CVD,0.75327138,"{'CH4': 1, 'H2': 50, 'O2': 0.5}",1030,5,Cu (25 ?m) Enclosure,2
CVD,0.49995888,{'Ethanol': None},1000,,Cu (25 ?m) Enclosure,2
CVD,0.933257,"{'CH4': 35, 'H2': 2}",1000,,Monolayer graphene covered Cu (25 ?m),2
CVD,0.1999836,"{'CH4': 0.1, 'H2': 10}",1030,,Cu (25 ?m),2
CVD,4.999589,"{'CH4': 100, 'H2': 200, 'Ar': 50}",1070,,Cu (25 ?m),2
Cold-Wall,,{'CH4': None},1000,,Cu-Ni alloy (30-70),2
CVD,5.50E-06,,900,,Cu-Ni alloy (10.4% Ni),2
CVD,0.1466546,"{'CH4': 3, 'H2': 2}",1050,,Cu-Ni alloy (90-10),2
CVD,0.099991776,"{'CH4': 8, 'H2': 5}",920,,Cu-Ni alloy (1200/400 nm),2
CVD,,,987.5,,Ru (0001),1
CVD,3.00E-06,{'C2H4': None},1147,2.5,Ru (0001),2
CVD,1.00E-07,{'C2H4': None},840,21.3,Ir (111),1
CVD,14.93211,"{'CH4': 2, 'H2': 20}",1000,30,Ir (111) film (300 nm),1
CVD,749.93832,"{'CH4': 6, 'H2': 850}",1080,30,Pt (111) film (500 nm),1
CVD,,"{'CH4': 5, 'H2': 500}",1000,20,Co (0001) film (200 nm),1
CVD,1.00E-12,,850,,Ni (111) (carbon-doped),1
CVD,1.00E-06,{'C3H6': None},640,5,Ni (111) film (150 nm),1
CVD,1.33E-06,{'C2H4': None},400,,Ni (111),1
CVD,1013.25,"{'CH4': None, 'H2': None, 'Ar': None}",965,75,Cu (111) film (500 nm),1
CVD,1013.25,"{'CH4': 3, 'H2': 50, 'Ar': 1000}",1075,60,Cu (111) foil,1
CVD,,"{'CH4': 1, 'H2': 10, 'Ar': 500}",1030,20,Cu (111) foil,1
CVD,39.9967,"{'CH4': 30, 'H2': 30}",1060,60,Cu (111) foil,1
CVD,1013.25,"{'CH4': 50, 'H2': 10, 'Ar': 300}",750,60,Cu/Ni (111) film (600 nm),1
CVD,1013.25,"{'CH4': 10, 'H2': 10, 'Ar': 500}",1000,10,Cu/Ni (111) film (500 nm),1
CVD,1013.25,"{'CH4': None, 'H2': None, 'Ar': None}",1085,600,"Cu/Ni (111) film (500 nm, 23 at% Ni)",2
CVD,1013.25,"{'CH4': 5, 'H2': 50, 'Ar': 1000}",1075,5,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),1
CVD,53.3289,"{'CH4': 1, 'H2': 10, 'Ar': 200}",1075,10,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),2
CVD,53.3289,"{'CH4': None, 'H2': None, 'Ar': None}",1075,,Cu/Ni (111) foil (23â€“28 at% Ni),ML
CVD,67.9944,"{'C2H2': 25, 'Ar': 50}",950,60,Si (100) wafer,Unknown
CVD,,"{'CH4': 180, 'H2': 10}",915,60,Si (100) wafer,1
CVD,,"{'CH4': 0.5, 'H2': 30, 'Ar': 200}",910,130,Ge (110) wafer,1
CVD,133.322,"{'CH4': None, 'H2': None}",915,120,H-terminated Ge (110) film,1
CVD,1013.25,"{'CH4': 30, 'H2': 50}",950,90,Al2O3 (0001),1
CVD,25.06461,"{'CH4': 5, 'H2': 100, 'Ar': 1000}",1200,30,H2-etched Al2O3 (0001),1
CVD,9.99918,"{'CH4': 5, 'H2': 5}",1200,360,Exfoliated h-BN,1
CVD,0.0506625,"{'C2H2': None, 'SiH4': None, 'Ar': None}",1250,22.5,Exfoliated h-BN,1
CVD,0.07999342,"{'H2': None, 'CH4': None}",950,,Thin layer graphite on Ni,1
CVD,1013.25,"{'CH4': None, 'H2': None, 'Ar': None}",1000,,Graphene formation on polycrystalline Ni,3.5
CVD,,"{'CH4': 550, 'H2': 65, 'Ar': 200}",1000,,Graphene growth over e-beam evaporated Ni,1
CVD,,"{'Ar': None, 'H2': None}",950,,Graphene formation on polycrystalline Ni by wet-etching,
CVD,0.05332895,"{'CH4': None, 'Ar': None}",1000,,Gram-scale graphene using MgO catalyst,5
CVD,0.3599704,{'Unknown': None},1000,,Catalytic graphene deposition on Cu,2
Roll-to-roll CVD,0.1199901,"{'H2': None, 'CH4': None}",1000,,Flexible polymer,
